"","TIME","location","gini_toth"
"751",1986,"ROM",NA
"752",1987,"ROM",NA
"753",1988,"ROM",NA
"754",1989,"ROM",NA
"755",1990,"ROM",0.227
"756",1991,"ROM",0.258
"757",1992,"ROM",0.259
"758",1993,"ROM",0.267
"759",1994,"ROM",0.264
"760",1995,"ROM",0.306
"761",1996,"ROM",0.302
"762",1997,"ROM",0.305
"763",1998,"ROM",0.298
"764",1999,"ROM",0.299
"765",2000,"ROM",0.31
"766",2001,"ROM",0.353
"767",2002,"ROM",0.349
"768",2003,"ROM",0.352
"769",2004,"ROM",0.359
"770",2005,"ROM",0.361
"771",2006,"ROM",0.364
"772",2007,"ROM",0.375
"773",2008,"ROM",0.347
"774",2009,"ROM",0.345
"775",2010,"ROM",NA
"776",1980,"SVK",0.206
"777",1981,"SVK",NA
"778",1982,"SVK",NA
"779",1983,"SVK",NA
"780",1984,"SVK",NA
"781",1985,"SVK",0.198
"782",1986,"SVK",NA
"783",1987,"SVK",NA
"784",1988,"SVK",0.194
"785",1989,"SVK",0.183
"786",1990,"SVK",0.18
"787",1991,"SVK",0.18
"788",1992,"SVK",0.189
"789",1993,"SVK",0.183
"790",1994,"SVK",NA
"791",1995,"SVK",NA
"792",1996,"SVK",0.246
"793",1997,"SVK",0.232
"794",1998,"SVK",0.256
"795",1999,"SVK",0.24
"796",2000,"SVK",0.243
"797",2001,"SVK",0.262
"798",2002,"SVK",0.26
"799",2003,"SVK",0.255
"800",2004,"SVK",NA
"801",2005,"SVK",0.259
"802",2006,"SVK",0.28
"803",2007,"SVK",0.239
"804",2008,"SVK",0.235
"805",2009,"SVK",0.246
"806",2010,"SVK",0.249
"807",1980,"SVN",NA
"808",1981,"SVN",NA
"809",1982,"SVN",NA
"810",1983,"SVN",NA
"811",1984,"SVN",NA
"812",1985,"SVN",NA
"813",1986,"SVN",NA
"814",1987,"SVN",NA
"815",1988,"SVN",NA
"816",1989,"SVN",NA
"817",1990,"SVN",NA
"818",1991,"SVN",NA
"819",1992,"SVN",NA
"820",1993,"SVN",NA
"821",1994,"SVN",NA
"822",1995,"SVN",NA
"823",1996,"SVN",NA
"824",1997,"SVN",0.248
"825",1998,"SVN",0.248
"826",1999,"SVN",0.248
"827",2000,"SVN",0.247
"828",2001,"SVN",0.243
"829",2002,"SVN",0.24
"830",2003,"SVN",0.24
"831",2004,"SVN",0.241
"832",2005,"SVN",0.238
"833",2006,"SVN",0.237
"834",2007,"SVN",0.232
"835",2008,"SVN",0.234
"836",2009,"SVN",0.227
"837",2010,"SVN",0.238
"838",1980,"ESP",0.315
"839",1981,"ESP",NA
"840",1982,"ESP",NA
"841",1983,"ESP",NA
"842",1984,"ESP",NA
"843",1985,"ESP",0.348
"844",1986,"ESP",0.328
"845",1987,"ESP",0.315
"846",1988,"ESP",0.299
"847",1989,"ESP",0.295
"848",1990,"ESP",0.296
"849",1991,"ESP",0.288
"850",1992,"ESP",0.286
"851",1993,"ESP",0.337
"852",1994,"ESP",0.33
"853",1995,"ESP",0.335
"854",1996,"ESP",0.344
"855",1997,"ESP",0.333
"856",1998,"ESP",0.326
"857",1999,"ESP",0.321
"858",2000,"ESP",0.324
"859",2001,"ESP",NA
"860",2002,"ESP",NA
"861",2003,"ESP",0.344
"862",2004,"ESP",0.327
"863",2005,"ESP",0.318
"864",2006,"ESP",0.312
"865",2007,"ESP",0.305
"866",2008,"ESP",0.308
"867",2009,"ESP",0.324
"868",2010,"ESP",0.304
"869",1980,"SWE",0.201
"870",1981,"SWE",0.199
"871",1982,"SWE",0.203
"872",1983,"SWE",0.201
"873",1984,"SWE",0.21
"874",1985,"SWE",0.211
"875",1986,"SWE",0.22
"876",1987,"SWE",0.209
"877",1988,"SWE",0.209
"878",1989,"SWE",0.213
"879",1990,"SWE",0.22
"880",1991,"SWE",0.226
"881",1992,"SWE",0.218
"882",1993,"SWE",0.221
"883",1994,"SWE",0.25
"884",1995,"SWE",0.227
"885",1996,"SWE",0.237
"886",1997,"SWE",0.253
"887",1998,"SWE",0.245
"888",1999,"SWE",0.261
"889",2000,"SWE",0.294
"890",2001,"SWE",0.266
"891",2002,"SWE",0.258
"892",2003,"SWE",0.253
"893",2004,"SWE",0.258
"894",2005,"SWE",0.271
"895",2006,"SWE",0.288
"896",2007,"SWE",0.307
"897",2008,"SWE",0.289
"898",2009,"SWE",0.291
"899",2010,"SWE",0.297
"900",1980,"UK",0.257
"901",1981,"UK",0.263
"902",1982,"UK",0.261
"903",1983,"UK",0.268
"904",1984,"UK",0.27
"905",1985,"UK",0.282
"906",1986,"UK",0.291
"907",1987,"UK",0.305
"908",1988,"UK",0.323
"909",1989,"UK",0.327
"910",1990,"UK",0.339
"911",1991,"UK",0.341
"912",1992,"UK",0.34
"913",1993,"UK",0.34
"914",1994,"UK",0.333
"915",1995,"UK",0.333
"916",1996,"UK",0.333
"917",1997,"UK",0.341
"918",1998,"UK",0.348
"919",1999,"UK",0.346
"920",2000,"UK",0.353
"921",2001,"UK",0.349
"922",2002,"UK",0.346
"923",2003,"UK",0.341
"924",2004,"UK",0.342
"925",2005,"UK",0.347
"926",2006,"UK",0.353
"927",2007,"UK",0.359
"928",2008,"UK",0.358
"929",2009,"UK",0.358
"930",2010,"UK",0.339
"931",1980,"USA",NA
"932",1981,"USA",NA
"933",1982,"USA",NA
"934",1983,"USA",0.331
"935",1984,"USA",NA
"936",1985,"USA",NA
"937",1986,"USA",NA
"938",1987,"USA",NA
"939",1988,"USA",NA
"940",1989,"USA",0.359
"941",1990,"USA",NA
"942",1991,"USA",NA
"943",1992,"USA",0.355
"944",1993,"USA",NA
"945",1994,"USA",NA
"946",1995,"USA",NA
